,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,location,Price
329,-,-,-,-,-,-,-,-,-,-
330,Fiat,Grande Punto,2009-2013 1.3 Emotion Pack (Diesel),2011,"79,386 km",Diesel,Manual,1st,"Rasta Peth, Pune, Maharashtra","₹ 2,75,000"
331,Volkswagen,Polo,1.2 MPI Highline Plus,2016,"39,000 km",Petrol,Manual,2nd,"MG Road, Indore, Madhya Pradesh","₹ 5,50,000"
332,Maruti Suzuki,Ritz,VDi,2011,"73,094 km",Diesel,Manual,1st,"Yelhanka - Doddaballapur Road, Bengaluru, Karnataka","₹ 3,65,000"
333,Hyundai,Verna,2010-2011 Transform CRDi VGT SX ABS,2010,"87,000 km",Diesel,Automatic,2nd,"Hsr Layout Sector 7, Bengaluru, Karnataka","₹ 3,80,000"
334,Volvo,S60,D4 R-Design,2014,"108,300 km",Diesel,Automatic,2nd,"Jubilee Hills, Hyderabad, Telangana","₹ 15,00,000"
335,Maruti Suzuki,Celerio,2014-2017 ZXI AT,2016,"39,000 km",Petrol,Manual,1st,"Banashankari Stage 3, Bengaluru, Karnataka","₹ 4,65,000"
336,Hyundai,Creta,1.4 E Plus Diesel,2019,"25,000 km",Diesel,Manual,1st,"Geeta Colony, Delhi, Delhi","₹ 9,70,000"
337,Mahindra,Xylo,H4 BS IV,2019,"35,000 km",Diesel,Manual,1st,"Tambaram, Chennai, Tamil Nadu","₹ 8,92,000"
338,Hyundai,EON,Era Plus,2013,"32,000 km",Petrol,Manual,2nd,"Nungambakkam, Chennai, Tamil Nadu","₹ 2,49,000"
339,Tata,Indica Vista,2008-2013 Aqua 1.3 Quadrajet (ABS),2009,"80,920 km",Diesel,Manual,3rd,"Friends Colony, Mukerian, Punjab","₹ 1,00,000"
340,Other Brands,Others,2015,"4,000 km",-,1st,-,-,"Jalukbari, Guwahati, Assam","₹ 3,50,000"
341,Renault,Duster,110PS Diesel RxZ,2012,"72,300 km",Diesel,Manual,1st,"Chandigarh Airport Area, Chandigarh, Chandigarh","₹ 4,15,000"
342,Maruti Suzuki,Ertiga,VXI,2014,"70,500 km",Petrol,Manual,2nd,"Sector 2, Bhilai, Chhattisgarh","₹ 5,80,000"
343,Hyundai,Verna,2011-2014 1.6 SX,2012,"91,000 km",Diesel,Manual,2nd,"Mahesh Nagar, Aurangabad, Maharashtra","₹ 4,35,000"
344,Maruti Suzuki,Ciaz,2014-2017 ZDi Plus,2015,"135,000 km",Diesel,Manual,2nd,"Kurkumbh, Kurkumbh MIDC, Maharashtra","₹ 7,00,000"
345,Hyundai,Verna,2006-2010 CRDi,2006,"180,000 km",Diesel,Automatic,3rd,"Ayyagaripet, Sathupally, Telangana","₹ 2,00,000"
346,Maruti Suzuki,Vitara Brezza,ZDi Plus,2016,"80,000 km",Diesel,Manual,1st,"Turakrathi, Kundapura, Karnataka","₹ 8,30,000"
347,Hyundai,i10,1.2 Kappa Magna,2012,"70,500 km",Petrol,Manual,1st,"Sector 51, Chandigarh, Chandigarh","₹ 2,71,500"
348,Hyundai,Elite i20,Magna 1.2,2015,"41,000 km",Petrol,Manual,2nd,"Elgin Road, Kolkata, West Bengal","₹ 4,30,000"
349,-,-,-,-,-,-,-,-,-,-
350,Toyota,Innova Crysta,2.4 ZX MT,2018,"70,000 km",Diesel,Manual,1st,"Tidke Colony, Nashik, Maharashtra","₹ 19,50,000"
351,Hyundai,i10,1.1L iRDE ERA Special Edition,2008,"19,000 km",Petrol,Manual,1st,"Preet Vihar, Delhi, Delhi","₹ 1,60,000"
352,Hyundai,Creta,1.4 CRDi S Plus,2018,"21,000 km",Diesel,Manual,1st,"T Nagar, Chennai, Tamil Nadu","₹ 9,75,000"
353,Tata,Indigo Ecs,eCS LS CR4 BS-IV,2012,"170,000 km",Diesel,Manual,2nd,"Marriguda, Hyderabad, Telangana","₹ 95,000"
354,Volkswagen,Polo,2009-2013 Petrol Highline 1.6L,2017,"37,000 km",Petrol,Manual,1st,"Panampilly Nagar, Kochi, Kerala","₹ 6,40,000"
355,Toyota,Innova,2009-2011 GX CNG,2009,"90,000 km",CNG & Hybrids,Manual,3rd,"Pitampura, Delhi, Delhi","₹ 3,99,000"
356,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,2018,"37,000 km",Petrol,Manual,1st,"Rajarhat, Kolkata, West Bengal","₹ 4,50,000"
357,Chevrolet,Sail,1.2 LS ABS,2013,"57,000 km",Petrol,Manual,1st,"Off SG Highway, Ahmedabad, Gujarat","₹ 2,40,000"
358,Maruti Suzuki,Wagon R,VXI,2015,"31,500 km",Petrol,Manual,1st,"Kattappana Market, Kattappana, Kerala","₹ 3,83,000"
359,Maruti Suzuki,Wagon R 1.0,1.0 VXi,2015,"56,320 km",Petrol,Manual,2nd,"Sultanpet, Palakkad, Kerala","₹ 3,55,000"
360,Audi,A4,1.8 TFSI Multitronic Premium Plus,2006,"65,000 km",Petrol,Automatic,2nd,"Greater Kailash 1, Delhi, Delhi","₹ 3,75,000"
361,Maruti Suzuki,800,AC,2001,"52,500 km",Petrol,Manual,1st,"Gajapati Nagar, Berhmapur, Odisha","₹ 65,000"
362,Hyundai,Verna,Others,2009,"92,000 km",Diesel,Manual,2nd,"Chandigarh Airport Area, Chandigarh, Chandigarh","₹ 2,20,000"
363,Maruti Suzuki,Swift,2018 AMT VXI,2018,"25,000 km",Petrol,Automatic,2nd,"Hagadur Vinayaka Nagar, Bengaluru, Karnataka","₹ 6,50,000"
364,BMW,5 Series,520d Luxury Line,2015,"34,000 km",Diesel,Automatic,2nd,"Elgin Road, Kolkata, West Bengal","₹ 23,50,000"
365,Honda,Jazz,VX,2019,"20,000 km",Petrol,Manual,1st,"Asher Nagar, Tiruppur, Tamil Nadu","₹ 7,90,000"
366,Hyundai,i20,2010-2012 1.4 CRDi Asta,2011,"42,144 km",Diesel,Manual,1st,"Madurdaha, Kolkata, West Bengal","₹ 2,75,000"
367,Hyundai,Elite i20,Asta Option CVT,2018,"20,000 km",Petrol,Automatic,1st,"Andheri West, Mumbai, Maharashtra","₹ 7,75,000"
368,Maruti Suzuki,Alto,LXi,2008,"88,000 km",Petrol,Manual,1st,"Mahendra Park, Delhi, Delhi","₹ 1,05,000"
369,Honda,City,i-VTEC CVT ZX,2017,"60,000 km",Petrol,Automatic,1st,"Hope College, Coimbatore, Tamil Nadu","₹ 9,85,000"
370,Hyundai,i20 Active,Active 1.4 SX (O),2015,"54,000 km",Diesel,Manual,1st,"Chandmari, Guwahati, Assam","₹ 5,60,000"
371,Maruti Suzuki,Swift,1.2 DLX,2020,"20,000 km",Petrol,Manual,1st,"Nagwahan, Sundarnagar, Himachal Pradesh","₹ 2,00,000"
372,iPhone,-,-,-,-,-,-,-,"Samudrapur, Maharashtra, India","₹ 15,499"
373,Audi,Q3,35 TDI Premium Plus + Sunroof,2015,"59,000 km",Diesel,Automatic,2nd,"Ramesh Nagar, Delhi, Delhi","₹ 15,75,000"
374,Hyundai,Verna,2011-2014 1.6 SX CRDI (O) AT,2014,"51,000 km",Diesel,Automatic,1st,"Sunder Nagar, Ahmedabad, Gujarat","₹ 6,25,000"
375,Maruti Suzuki,Swift,VXI,2014,"49,000 km",Petrol,Manual,1st,"Chandigarh Airport Area, Chandigarh, Chandigarh","₹ 4,25,000"
376,Maruti Suzuki,Swift,VDI,2012,"78,000 km",Diesel,Manual,-,"Sector 37A, Gurgaon, Haryana","₹ 3,25,000"
377,Maruti Suzuki,Swift Dzire,VXI,2014,"77,000 km",Petrol,Manual,1st,"SG Highway, Ahmedabad, Gujarat","₹ 4,65,000"
378,Maruti Suzuki,Alto K10,VXI,2013,"37,000 km",CNG & Hybrids,Manual,1st,"Science City, Ahmedabad, Gujarat","₹ 2,41,000"
379,Maruti Suzuki,Swift Dzire,Swift Dzire Tour,2018,"35,000 km",Diesel,Manual,1st,"Madhavaram, Chennai, Tamil Nadu","₹ 5,30,500"
380,Hyundai,i10,1.2 Kappa Magna,2009,"61,000 km",Petrol,Manual,1st,"Kodambakkam, Chennai, Tamil Nadu","₹ 2,59,000"
381,Maruti Suzuki,Alto,2000-2005 LXI,2011,"41,321 km",Petrol,Manual,1st,"Rabindra Nagar, Siliguri, West Bengal","₹ 1,65,101"
382,Maruti Suzuki,Ritz,Ldi BS-IV,2010,"37,163 km",Diesel,Manual,1st,"Madurdaha, Kolkata, West Bengal","₹ 1,95,000"
383,Jeep,Compass,2.0 Limited,2018,"70,000 km",Diesel,Manual,1st,"Nagawara, Bengaluru, Karnataka","₹ 15,45,000"
384,Hyundai,i10,1.2 Kappa SPORTZ,2010,"70,000 km",Petrol,Manual,2nd,"Benzco, Vijayawada, Andhra Pradesh","₹ 2,50,000"
385,Volkswagen,Polo,2009-2013 Diesel Highline 1.2L,2012,"63,800 km",Diesel,Manual,2nd,"Mohit Vihar, Dehradun, Uttaranchal","₹ 3,25,000"
386,Mitsubishi,Pajero,Select Plus 4X4 MT,2011,"80,000 km",Diesel,Manual,2nd,"Industrial Area, Chandigarh, Chandigarh","₹ 7,15,000"
387,Honda,City ZX,GXi,2007,"76,000 km",Petrol,Manual,2nd,"Banashankari, Bengaluru, Karnataka","₹ 2,45,000"
388,Tata,Nano,XT,2017,"50,000 km",Petrol,Manual,1st,"Naranpura, Ahmedabad, Gujarat","₹ 1,50,000"
389,-,-,-,-,-,-,-,-,-,-
390,Skoda,Rapid,1.5 TDI CR Elegance Plus,2014,"215,000 km",Diesel,Manual,1st,"Goripalayam, Madurai, Tamil Nadu","₹ 4,50,000"
391,Maruti Suzuki,Esteem,Vxi - BSIII,2007,"80,000 km",CNG & Hybrids,Manual,1st,"Sector 28, Gandhinagar, Gujarat","₹ 1,25,500"
392,Mahindra,Jeep,Commander 750 DI,2010,"165,000 km",Diesel,Manual,2nd,"Ramamangalam, Kochi, Kerala","₹ 5,75,000"
393,BMW,3 Series,320d Luxury Line,2014,"61,000 km",Diesel,Automatic,2nd,"Prahlad nagar, Ahmedabad, Gujarat","₹ 17,11,000"
394,Maruti Suzuki,Ciaz,1.4 Sigma,2017,"25,500 km",Petrol,Manual,2nd,"Birgaon, Raipur, Chhattisgarh","₹ 6,40,000"
395,Mahindra,XUV500,W8 2WD,2012,"81,000 km",Diesel,Manual,1st,"Rampur, Rampur, Uttar Pradesh","₹ 5,00,000"
396,Maruti Suzuki,Swift Dzire,VDI,2016,"62,000 km",Diesel,Manual,1st,"Andheri West, Mumbai, Maharashtra","₹ 6,10,000"
397,Renault,Duster,85PS Diesel RxL,2014,"68,000 km",Diesel,Manual,1st,"Ward No 3, Ghagga, Punjab","₹ 4,25,000"
398,Maruti Suzuki,800,AC BSII,2007,"45,000 km",Petrol,Manual,-,"Shantipuram, Visakhapatnam, Andhra Pradesh","₹ 95,000"
399,Maruti Suzuki,Wagon R,LXI,2016,"54,000 km",Petrol,Manual,1st,"Rohini Sector 10, Delhi, Delhi","₹ 3,41,000"
400,Maruti Suzuki,Alto,LXi,2009,"80,000 km",CNG & Hybrids,Manual,2nd,"Babarpur, Delhi, Delhi","₹ 92,000"
401,Maruti Suzuki,Wagon R 1.0,1.0 LXi,2009,"51,000 km",Petrol,Manual,1st,"Off SG Highway, Ahmedabad, Gujarat","₹ 2,00,000"
402,Hyundai,i10,Era,2012,"58,000 km",Petrol,Manual,1st,"Naranpura, Ahmedabad, Gujarat","₹ 2,80,000"
403,Maruti Suzuki,Celerio,ZXI Optional MT,2016,"89,000 km",Petrol,Manual,1st,"Bowenpally, Hyderabad, Telangana","₹ 4,30,000"
404,Skoda,Laura,1.8 TSI Ambition,2010,"84,000 km",Petrol,Manual,3rd,"Gungutoli, Ranchi, Jharkhand","₹ 3,51,000"
405,Hyundai,i20,Petrol Spotz,2017,"16,000 km",Petrol,Manual,1st,"Borivali West, Mumbai, Maharashtra","₹ 6,38,000"
406,Chevrolet,Spark,1.0 LS,2010,"72,000 km",Petrol,Manual,1st,"Tilak Nagar, Delhi, Delhi","₹ 1,05,000"
407,Maruti Suzuki,Ritz,VDi,2011,"74,002 km",Petrol,Manual,2nd,"Lachchhiram Pur, Azamgarh, Uttar Pradesh","₹ 1,80,000"
408,Maruti Suzuki,Alto,LX,2007,"66,000 km",Petrol,Manual,1st,"Off SG Highway, Ahmedabad, Gujarat","₹ 1,25,000"
409,-,-,-,-,-,-,-,-,-,-
410,Maruti Suzuki,Swift Dzire,VXI,2010,"95,000 km",Petrol,Manual,2nd,"Someshwarapura Extension, Tumakuru, Karnataka","₹ 3,00,000"
411,Tata,Indigo CS,CS LS TDI,2007,"92,000 km",Diesel,Manual,2nd,"Anna Nagar, Chennai, Tamil Nadu","₹ 1,35,000"
412,Fiat,Punto,Punto Emotion Pack 1.4,2011,"92,000 km",Diesel,Manual,1st,"Ayanavaram, Chennai, Tamil Nadu","₹ 2,50,000"
413,Hyundai,Elite i20,Magna 1.2,2015,"54,000 km",Petrol,Manual,1st,"Rohini Sector 10, Delhi, Delhi","₹ 4,70,000"
414,Maruti Suzuki,Swift,VDI BS IV,2015,"78,000 km",Diesel,Manual,1st,"Chauk, Lucknow, Uttar Pradesh","₹ 4,90,000"
415,Hyundai,Elite i20,Sportz (O) 1.4,2015,"79,000 km",Diesel,Manual,2nd,"Thiruvannur, Kozhikode, Kerala","₹ 5,80,000"
416,Maruti Suzuki,Swift,ZDi,2013,"79,000 km",Diesel,Manual,1st,"MG Road, Bengaluru, Karnataka","₹ 4,90,000"
417,Hyundai,Elite i20,Asta 1.2 (O),2016,"51,000 km",Petrol,Manual,1st,"Rajarhat, Kolkata, West Bengal","₹ 4,99,999"
418,-,-,-,-,-,-,-,-,"Samudrapur, Maharashtra, India",₹ 250
419,Maruti Suzuki,Alto,2005-2010 LXi BSIII,2009,"70,000 km",Petrol,Manual,1st,"Sunder Nagar, Ahmedabad, Gujarat","₹ 1,65,000"
420,Maruti Suzuki,Swift,2011-2014 ZDi,2012,"105,900 km",Diesel,Manual,2nd,"Nayudupeta, Andhra Pradesh, India","₹ 4,10,000"
421,Honda,City,i-VTEC VX,2015,"55,154 km",Petrol,Manual,1st,"Connaught Place, Delhi, Delhi","₹ 5,79,000"
422,Honda,Civic,1.8 V MT,2009,"80,000 km",Petrol,Manual,2nd,"Attapur, Hyderabad, Telangana","₹ 2,65,000"
423,Toyota,Corolla Altis,Others,2013,"88,000 km",Diesel,Manual,2nd,"Chandigarh Airport Area, Chandigarh, Chandigarh","₹ 4,80,000"
424,Toyota,Innova,2.5 V 7 STR,2011,"170,000 km",Diesel,Manual,2nd,"Industrial Area, Chandigarh, Chandigarh","₹ 5,90,000"
425,Volkswagen,Ameo,1.2 MPI Comfortline Plus,2018,"45,000 km",Petrol,Manual,1st,"Pitampura, Delhi, Delhi","₹ 4,80,000"
426,Bentley,Continental Flying Spur,Flying Spur W12,2008,"34,000 km",Petrol,Automatic,4th,"Bandra West, Mumbai, Maharashtra","₹ 75,00,000"
427,Maruti Suzuki,Ciaz,2014-2017 ZDi SHVS,2015,"69,000 km",Diesel,Manual,1st,"Kotwali Ganj, Rampur, Uttar Pradesh","₹ 5,60,000"
428,Audi,A6,2.0 TDI Premium Plus,2013,8 km,Petrol,Automatic,4+,"Vyttila, Kochi, Kerala","₹ 15,000"
429,Hyundai,i20,2010-2012 1.4 CRDi Magna,2012,"81,975 km",Diesel,Manual,1st,"Sector 60 Phase 3B2, Mohali, Punjab","₹ 3,28,000"
430,-,-,-,-,-,-,-,-,-,-
431,Mercedes-Benz,E-Class,Elegance 220 CDI,2012,"95,000 km",Diesel,Automatic,1st,"Santacruz East, Mumbai, Maharashtra","₹ 12,75,000"
432,Toyota,Etios,2012,Petrol,1st,Manual,"104,000 km",-,"Rangampalaiyam, Erode, Tamil Nadu","₹ 4,20,000"
433,-,-,-,-,-,-,-,-,-,-
434,Maruti Suzuki,Vitara Brezza,ZDi Plus Dual Tone,2016,"47,000 km",Diesel,Manual,1st,"Vidya Nagar Colony, Tirupati, Andhra Pradesh","₹ 8,15,000"
435,Tata,Aria,Pleasure 4X4,2011,"44,220 km",Diesel,Manual,1st,"Andheri East, Mumbai, Maharashtra","₹ 3,45,000"
436,Mahindra,Scorpio,2006-2009 2.6 Turbo 7 Str,2006,"69,685 km",Diesel,Manual,-,"New Pratap Nagar, Ambala, Haryana","₹ 1,69,000"
437,Hyundai,Elite i20,Sportz 1.2,2016,"57,080 km",Petrol,Manual,-,"Jayanagar, Bengaluru, Karnataka","₹ 6,10,000"
438,Tata,Indigo Ecs,eCS LS CR4 BS-IV,2018,"100,000 km",Diesel,Manual,1st,"Mira Road East, Mumbai, Maharashtra","₹ 2,50,000"
439,-,-,-,-,-,-,-,-,"Samudrapur MIDC, Maharashtra, India",₹ 499
440,Chevrolet,Sail,2014,Petrol,1st,Manual,"32,000 km",-,"Mohit Vihar, Dehradun, Uttaranchal","₹ 3,00,000"
441,Tata,Safari Storme,VX,2014,"120,500 km",Diesel,Manual,1st,"Kunchanapalle, Vijayawada, Andhra Pradesh","₹ 6,95,000"
442,Renault,Duster,2012-2015 85PS Diesel RxL,2013,"160,000 km",Diesel,Manual,1st,"Rajbandh Maidan, Raipur, Chhattisgarh","₹ 3,99,000"
443,Toyota,Innova,2.5 G (Diesel) 7 Seater,2015,"151,000 km",Diesel,Manual,2nd,"Infantry Road, Bengaluru, Karnataka","₹ 6,40,000"
444,Ford,Figo,2012-2015 Diesel ZXI,2015,"110,000 km",Diesel,Manual,2nd,"Ram Krishna Nagar, Vijayawada, Andhra Pradesh","₹ 3,40,000"
445,Hyundai,i10,Magna 1.1L,2016,"13,314 km",Petrol,Manual,1st,"Rajaji Nagar, Bengaluru, Karnataka","₹ 4,95,000"
446,Hyundai,i20,2012-2014 Sportz 1.2,2012,"60,527 km",Petrol,Manual,1st,"Housing Board Colony, Hyderabad, Telangana","₹ 4,20,000"
447,Chevrolet,Others,Others,2016,"110,974 km",Diesel,Automatic,2nd,"Manthaiyamman Kovil, Kambam, Tamil Nadu","₹ 5,50,000"
448,Toyota,Innova,2004-2011 2.5 G4 Diesel 8-seater,2010,2nd,Diesel,"132,000 km",-,"Puliakulam, Coimbatore, Tamil Nadu","₹ 8,50,000"
449,Maruti Suzuki,Swift Dzire,VXI,2017,"55,000 km",Petrol,Manual,1st,"Anamika Enclave, Gurgaon, Haryana","₹ 5,15,000"
450,Maruti Suzuki,Alto 800,LXI,2013,"81,000 km",Petrol,Manual,1st,"Alagu Nagar, Namakkal, Tamil Nadu","₹ 2,49,000"
451,Volkswagen,Jetta,2.0 TDI Comfortline,2012,"82,000 km",Diesel,Manual,1st,"Sector 16, Faridabad, Haryana","₹ 3,99,000"
452,Ford,Figo,2010-2012 Petrol ZXI,2010,"72,000 km",Petrol,Manual,3rd,"Kuchha Kathara, Shahjahanpur, Uttar Pradesh","₹ 1,80,000"
453,Mercedes-Benz,GLE Class,250d,2016,"74,000 km",Diesel,Automatic,1st,"Marine Drive, Kochi, Kerala","₹ 42,00,000"
454,Maruti Suzuki,Wagon R,1999-2006 VXI BSIII,2006,-,"53,037 km",4th,-,"Palarivattom, Kochi, Kerala","₹ 1,50,000"
455,Maruti Suzuki,Ritz,LXi,2016,"80,000 km",CNG & Hybrids,Manual,2nd,"IMT Rohtak, Rohtak, Haryana","₹ 2,70,000"
456,Ford,Ecosport,1.5 Diesel Trend,2015,"65,000 km",Diesel,Manual,1st,"Ward Number 42, Churu, Rajasthan","₹ 4,99,999"
457,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2009,"70,000 km",Petrol,Manual,2nd,"Sunder Nagar, Ahmedabad, Gujarat","₹ 1,95,000"
458,Mercedes-Benz,E-Class,E250 CDI Avantgarde,2015,"70,000 km",Diesel,Automatic,1st,"Andheri West, Mumbai, Maharashtra","₹ 20,50,000"
459,Maruti Suzuki,Wagon R 1.0,1.0 LXi,2012,"51,000 km",Petrol,Manual,1st,"Karkar Duma, Delhi, Delhi","₹ 2,40,000"
460,Mahindra,XUV500,W8 2WD,2016,"58,000 km",Diesel,Manual,1st,"Banashankari Stage 3, Bengaluru, Karnataka","₹ 12,30,000"
461,Maruti Suzuki,Estilo,VXi BS-IV,2010,"42,111 km",Petrol,Manual,1st,"Madurdaha, Kolkata, West Bengal","₹ 1,75,000"
462,Maruti Suzuki,Vitara Brezza,2017,Diesel,-,9 km,-,-,"Vyttila, Kochi, Kerala","₹ 6,66,666"
463,Nissan,Sunny,XE,2016,"80,000 km",Diesel,Manual,1st,"Alwarpet, Chennai, Tamil Nadu","₹ 4,80,000"
464,Volkswagen,Polo,2009-2013 Diesel Highline 1.2L,2011,"85,000 km",Diesel,Manual,2nd,"Umarwada, Surat, Gujarat","₹ 2,85,000"
465,Maruti Suzuki,Swift,VDI,2012,"41,000 km",Diesel,Manual,1st,"Jadavpur, Kolkata, West Bengal","₹ 3,35,000"
466,Chevrolet,Optra,1.8 MAX,2011,"94,250 km",Diesel,Manual,1st,"Sarthana Jakatnaka, Surat, Gujarat","₹ 2,45,000"
467,Maruti Suzuki,Zen,LXI,2006,"81,110 km",Petrol,Manual,1st,"Jaganathapuram, Erode, Tamil Nadu","₹ 2,15,000"
468,Audi,A4,2008-2014 2.0 TDI Celebration Edition,2013,"45,000 km",Diesel,Automatic,2nd,"Nagawara, Bengaluru, Karnataka","₹ 15,95,000"
469,Hyundai,i20,2012-2014 Magna,2013,"53,232 km",CNG & Hybrids,Manual,1st,"Pitampura, Delhi, Delhi","₹ 3,45,000"
470,Maruti Suzuki,Wagon R,LXI,2007,"162,000 km",Petrol,Manual,1st,"Adabari, Guwahati, Assam","₹ 1,55,000"
471,Maruti Suzuki,Vitara Brezza,ZDi Plus,2019,"45,000 km",Diesel,Manual,1st,"LB Nagar, Hyderabad, Telangana","₹ 9,85,000"
472,Maruti Suzuki,Vitara Brezza,ZDi Plus,2018,"61,000 km",Diesel,Manual,1st,"Raj Nagar Extension, Ghaziabad, Uttar Pradesh","₹ 8,25,000"
473,Mahindra,XUV500,W6 2WD,2012,"52,000 km",Diesel,Manual,1st,"Vaishali, Ghaziabad, Uttar Pradesh","₹ 4,39,000"
474,Hyundai,i10,Sportz 1.2 Automatic Kappa2,2011,"69,000 km",Petrol,Automatic,2nd,"Neduvathoor, Kottarakkara, Kerala","₹ 3,50,000"
475,Tata,Indigo CS,2008-2012 eLX BS IV,2011,"73,000 km",Diesel,Manual,1st,"Kunchanapalle, Vijayawada, Andhra Pradesh","₹ 1,65,000"
476,Hyundai,Accent,CRDi,2005,"98,000 km",Diesel,Manual,3rd,"Attapur, Hyderabad, Telangana","₹ 1,20,000"
477,Maruti Suzuki,Wagon R 1.0,1.0 LXi,2009,"82,698 km",Petrol,Manual,-,"Model Town, Ambala, Haryana","₹ 1,30,000"
478,-,-,-,-,-,-,-,-,"Samudrapur, Maharashtra, India",₹ 499
479,Maruti Suzuki,Wagon R Electric,Others,2006,"60,000 km",LPG,Automatic,2nd,"Baikuntha, Bahraich, Uttar Pradesh","₹ 65,000"
480,BMW,3 Series,Others,2011,"96,000 km",Diesel,Automatic,1st,"Chandigarh Airport Area, Chandigarh, Chandigarh","₹ 8,00,000"
481,Mercedes-Benz,GLE COUPE,43 AMG Coupe,2020,"5,000 km",Petrol,Automatic,1st,"Puthiyakavu, Karunagappally, Kerala","₹ 92,00,000"
482,Maruti Suzuki,Alto,2005-2010 LX BSIII,2008,"55,000 km",Petrol,Manual,2nd,"Attapur, Hyderabad, Telangana","₹ 1,30,000"
483,Maruti Suzuki,Omni,8 Seater BSII,2013,"98,300 km",Petrol,Manual,1st,"Thillai Nagar, Tiruchirappalli, Tamil Nadu","₹ 2,50,000"
484,Hyundai,i10,1.2 Kappa SPORTZ,2009,"81,000 km",Petrol,Manual,2nd,"Kannanakuzhi, Kattanam, Kerala","₹ 2,20,000"
485,Toyota,Fortuner,3.0 4x4 Manual,2013,"125,000 km",Diesel,Manual,2nd,"Sivarampalli, Hyderabad, Telangana","₹ 14,00,000"
486,Maruti Suzuki,Swift Dzire,2013,Petrol,2nd,Automatic,"70,000 km",-,"Mansarovar Garden, Delhi, Delhi","₹ 3,57,000"
487,Honda,Accord,Accord 2.4 VTi-L Automatic,2010,"57,000 km",Petrol,Automatic,2nd,"Bhola Nath Nagar, Delhi, Delhi","₹ 3,80,001"
488,Ford,Ecosport,1.5 TDCi Titanium Plus,2013,"96,000 km",Diesel,Manual,1st,"Padivattom, Kochi, Kerala","₹ 5,25,000"
489,Maruti Suzuki,Wagon R,LXI BS IV,2018,"21,000 km",Petrol,Manual,1st,"Vaishali, Ghaziabad, Uttar Pradesh","₹ 3,85,000"
490,Toyota,Corolla Altis,Altis 1.8 J,2018,21 km,Petrol,Manual,1st,"Chembur, Mumbai, Maharashtra","₹ 10,21,700"
491,Toyota,Innova,2004-2011 2.0 V,2011,"80,000 km",Diesel,Manual,1st,"Aranattukara, Thrissur, Kerala","₹ 9,00,000"
